,Comp,Temp,Data,Casa,GC,GF,Fora,Res,PC,PF,J
74,Robertão,1967,1967-04-23,Botafogo,0,0,Palmeiras,E,1,1,75
75,Robertão,1967,1967-04-23,Santos,3,0,Bangu,VC,3,0,76
76,Robertão,1967,1967-04-26,Vasco,1,0,Botafogo,VC,3,0,77
77,Robertão,1967,1967-04-26,Atlético-MG,0,0,Corinthians,E,1,1,78
78,Robertão,1967,1967-04-26,Portuguesa,1,1,São Paulo,E,1,1,79
79,Robertão,1967,1967-04-26,Internacional,2,2,Bangu,E,1,1,80
80,Robertão,1967,1967-04-29,Botafogo,0,2,Corinthians,VV,0,3,81
84,Robertão,1967,1967-04-30,Ferroviário-CE,1,1,Flamengo,E,1,1,85
83,Robertão,1967,1967-04-30,Portuguesa,1,0,Bangu,VC,3,0,84
85,Robertão,1967,1967-04-30,Grêmio,4,0,Vasco,VC,3,0,86
81,Robertão,1967,1967-04-30,Fluminense,3,0,Santos,VC,3,0,82
82,Robertão,1967,1967-04-30,Cruzeiro,0,2,São Paulo,VV,0,3,83
86,Robertão,1967,1967-05-03,Internacional,0,0,Vasco,E,1,1,87
87,Robertão,1967,1967-05-03,Santos,3,0,Ferroviário-CE,VC,3,0,88
88,Robertão,1967,1967-05-03,Fluminense,0,1,Portuguesa,VV,0,3,89
89,Robertão,1967,1967-05-03,Atlético-MG,0,3,São Paulo,VV,0,3,90
90,Robertão,1967,1967-05-06,Flamengo,2,3,Corinthians,VV,0,3,91
91,Robertão,1967,1967-05-06,Palmeiras,1,1,São Paulo,E,1,1,92
95,Robertão,1967,1967-05-07,Grêmio,1,0,Cruzeiro,VC,3,0,96
94,Robertão,1967,1967-05-07,Ferroviário-CE,0,0,Botafogo,E,1,1,95
93,Robertão,1967,1967-05-07,Atlético-MG,1,0,Vasco,VC,3,0,94
92,Robertão,1967,1967-05-07,Bangu,2,0,Fluminense,VC,3,0,93
96,Robertão,1967,1967-05-10,Portuguesa,3,0,Botafogo,VC,3,0,97
97,Robertão,1967,1967-05-10,Grêmio,2,0,Ferroviário-CE,VC,3,0,98
98,Robertão,1967,1967-05-13,Flamengo,1,1,Fluminense,E,1,1,99
99,Robertão,1967,1967-05-13,Corinthians,1,1,Santos,E,1,1,100
103,Robertão,1967,1967-05-14,Cruzeiro,2,1,Botafogo,VC,3,0,104
104,Robertão,1967,1967-05-14,Bangu,0,2,Palmeiras,VV,0,3,105
102,Robertão,1967,1967-05-14,Grêmio,1,1,Portuguesa,E,1,1,103
101,Robertão,1967,1967-05-14,São Paulo,0,0,Vasco,E,1,1,102
100,Robertão,1967,1967-05-14,Ferroviário-CE,1,2,Atlético-MG,VV,0,3,101
105,Robertão,1967,1967-05-20,Corinthians,2,1,Grêmio,VC,3,0,106
106,Robertão,1967,1967-05-21,Internacional,1,2,Palmeiras,VV,0,3,107
107,Robertão,1967,1967-05-24,Corinthians,2,2,Palmeiras,E,1,1,108
108,Robertão,1967,1967-05-24,Grêmio,1,1,Internacional,E,1,1,109
109,Robertão,1967,1967-05-28,Corinthians,0,1,Internacional,VV,0,3,110
110,Robertão,1967,1967-05-28,Grêmio,1,1,Palmeiras,E,1,1,111
111,Robertão,1967,1967-06-01,Palmeiras,0,0,Internacional,E,1,1,112
112,Robertão,1967,1967-06-01,Grêmio,0,1,Corinthians,VV,0,3,113
113,Robertão,1967,1967-06-04,Palmeiras,1,0,Corinthians,VC,3,0,114
114,Robertão,1967,1967-06-04,Internacional,0,0,Grêmio,E,1,1,115
115,Robertão,1967,1967-06-07,Internacional,3,0,Corinthians,VC,3,0,116
116,Robertão,1967,1967-06-08,Palmeiras,2,1,Grêmio,VC,3,0,117
0,Robertão,1968,1968-08-24,Portuguesa,1,0,São Paulo,VC,3,0,1
1,Robertão,1968,1968-08-28,Palmeiras,1,0,Náutico,VC,3,0,2
4,Robertão,1968,1968-09-01,Athletico-PR,1,1,São Paulo,E,1,1,5
2,Robertão,1968,1968-09-01,Náutico,0,1,Corinthians,VV,0,3,3
3,Robertão,1968,1968-09-01,Palmeiras,1,1,Grêmio,E,1,1,4
5,Robertão,1968,1968-09-04,Internacional,1,1,Palmeiras,E,1,1,6
6,Robertão,1968,1968-09-07,Internacional,1,1,Náutico,E,1,1,7
7,Robertão,1968,1968-09-08,Corinthians,2,1,São Paulo,VC,3,0,8
8,Robertão,1968,1968-09-08,Athletico-PR,3,2,Santos,VC,3,0,9
9,Robertão,1968,1968-09-08,Grêmio,3,0,Portuguesa,VC,3,0,10
10,Robertão,1968,1968-09-11,Corinthians,3,1,Portuguesa,VC,3,0,11
11,Robertão,1968,1968-09-11,Grêmio,0,0,Náutico,E,1,1,12
12,Robertão,1968,1968-09-14,Fluminense,2,1,Botafogo,VC,3,0,13
13,Robertão,1968,1968-09-14,São Paulo,0,1,Internacional,VV,0,3,14
14,Robertão,1968,1968-09-14,Atlético-MG,1,0,Bahia,VC,3,0,15
16,Robertão,1968,1968-09-15,Cruzeiro,3,0,Náutico,VC,3,0,17
15,Robertão,1968,1968-09-15,Portuguesa,0,2,Vasco,VV,0,3,16
17,Robertão,1968,1968-09-15,Flamengo,0,2,Santos,VV,0,3,18
22,Robertão,1968,1968-09-18,Internacional,2,1,Vasco,VC,3,0,23
21,Robertão,1968,1968-09-18,Athletico-PR,3,1,Fluminense,VC,3,0,22
19,Robertão,1968,1968-09-18,Atlético-MG,2,1,Náutico,VC,3,0,20
20,Robertão,1968,1968-09-18,Santos,0,0,Palmeiras,E,1,1,21
18,Robertão,1968,1968-09-18,Bangu,3,1,Portuguesa,VC,3,0,19
23,Robertão,1968,1968-09-19,Corinthians,1,0,Bahia,VC,3,0,24
24,Robertão,1968,1968-09-21,Santos,2,1,Fluminense,VC,3,0,25
28,Robertão,1968,1968-09-22,Cruzeiro,1,0,Bahia,VC,3,0,29
27,Robertão,1968,1968-09-22,Vasco,2,0,Atlético-MG,VC,3,0,28
29,Robertão,1968,1968-09-22,Portuguesa,3,3,Internacional,E,1,1,30
25,Robertão,1968,1968-09-22,Grêmio,1,1,São Paulo,E,1,1,26
26,Robertão,1968,1968-09-22,Athletico-PR,0,1,Botafogo,VV,0,3,27
30,Robertão,1968,1968-09-25,Santos,1,1,Bangu,E,1,1,31
31,Robertão,1968,1968-09-25,Flamengo,1,0,Cruzeiro,VC,3,0,32
32,Robertão,1968,1968-09-25,Atlético-MG,1,2,São Paulo,VV,0,3,33
